Filename,ID,Feature,Manual,Automated
C2,0,Solidity,0.974359,0.962838
C2,0,Eccentricity,0.606111,0.804010
C2,0,Circularity,0.901200,0.821144
C2,0,X,31.451754,31.705263
C2,0,Y,5.899123,5.771930
C2,1,Area,1132.000000,1841.000000
C2,1,Perimeter,126.325902,180.468037
C2,1,Solidity,0.977547,0.957358
C2,1,Eccentricity,0.251442,0.846969
C2,1,Circularity,0.891398,0.710335
C2,1,X,134.294170,143.403585
C2,1,Y,15.750883,15.055948
C2,2,Area,269.000000,279.000000
C2,2,Perimeter,64.041631,66.384776
C2,2,Solidity,0.981752,0.978947
C2,2,Eccentricity,0.808141,0.860375
C2,2,Circularity,0.824209,0.795568
C2,2,X,217.888476,218.903226
C2,2,Y,5.356877,5.186380
C2,3,Area,1056.000000,1176.000000
C2,3,Perimeter,120.325902,125.154329
C2,3,Solidity,0.975069,0.980817
C2,3,Eccentricity,0.467017,0.453260
C2,3,Circularity,0.916549,0.943464
C2,3,X,429.589962,430.480442
C2,3,Y,98.735795,98.493197
C2,4,Area,1232.000000,1311.000000
C2,4,Perimeter,135.296465,135.539105
C2,4,Solidity,0.955780,0.975446
C2,4,Eccentricity,0.720935,0.638463
C2,4,Circularity,0.845761,0.896775
C2,4,X,324.361201,324.592677
C2,4,Y,113.958604,113.455378
C2,5,Area,1035.000000,1305.000000
C2,5,Perimeter,122.225397,139.053824
C2,5,Solidity,0.974576,0.959559
C2,5,Eccentricity,0.722386,0.660348
C2,5,Circularity,0.870617,0.848115
C2,5,X,385.121739,385.441379
C2,5,Y,133.678261,137.115709
C2,6,Area,276.000000,350.000000
C2,6,Perimeter,59.455844,67.112698
C2,6,Solidity,0.975265,0.969529
C2,6,Eccentricity,0.484994,0.448437
C2,6,Circularity,0.981137,0.976492
C2,6,X,330.525362,331.768571
C2,6,Y,204.202899,204.825714
C2,7,Area,660.000000,694.000000
C2,7,Perimeter,99.154329,100.568542
C2,7,Solidity,0.967742,0.961219
C2,7,Eccentricity,0.809061,0.741355
C2,7,Circularity,0.843588,0.862273
C2,7,X,116.175758,116.887608
C2,7,Y,244.831818,246.020173
C2,8,Area,348.000000,486.000000
C2,8,Perimeter,68.526912,79.597980
C2,8,Solidity,0.961326,0.977867
C2,8,Eccentricity,0.331176,0.361450
C2,8,Circularity,0.931251,0.963922
C2,8,X,319.824713,320.563786
C2,8,Y,251.686782,250.991770
C2,9,Area,577.000000,720.000000
C2,9,Perimeter,87.840620,98.426407
C2,9,Solidity,0.971380,0.971660
C2,9,Eccentricity,0.545471,0.507347
C2,9,Circularity,0.939712,0.933940
C2,9,X,267.386482,267.690278
C2,9,Y,346.360485,347.070833
C2,10,Area,247.000000,275.000000
C2,10,Perimeter,55.798990,59.455844
C2,10,Solidity,0.984064,0.961538
C2,10,Eccentricity,0.477222,0.351602
C2,10,Circularity,0.996906,0.977583
C2,10,X,335.931174,335.469091
C2,10,Y,487.004049,486.774545
C3,0,Area,928.000000,897.000000
C3,0,Perimeter,121.639610,122.225397
C3,0,Solidity,0.930792,0.910660
C3,0,Eccentricity,0.781347,0.790665
C3,0,Circularity,0.788148,0.754535
C3,0,X,99.621767,101.149387
C3,0,Y,36.229526,36.593088
C3,1,Area,592.000000,620.000000
C3,1,Perimeter,91.840620,91.497475
C3,1,Solidity,0.954839,0.974843
C3,1,Eccentricity,0.317669,0.472098
C3,1,Circularity,0.881987,0.930643
C3,1,X,230.864865,231.148387
C3,1,Y,92.322635,92.601613
C3,2,Area,251.000000,291.000000
C3,2,Perimeter,56.870058,61.698485
C3,2,Solidity,0.965385,0.960396
C3,2,Eccentricity,0.578344,0.462255
C3,2,Circularity,0.975251,0.960625
C3,2,X,134.191235,135.013746
C3,2,Y,108.924303,108.659794
C3,3,Area,897.000000,1409.000000
C3,3,Perimeter,118.811183,176.367532
C3,3,Solidity,0.948203,0.834716
C3,3,Eccentricity,0.763543,0.822399
C3,3,Circularity,0.798523,0.569224
C3,3,X,281.183946,275.617459
C3,3,Y,116.580825,111.414478
C3,4,Area,651.000000,738.000000
C3,4,Perimeter,97.840620,103.740115
C3,4,Solidity,0.953148,0.949807
C3,4,Eccentricity,0.707264,0.649067
C3,4,Circularity,0.854579,0.861733
C3,4,X,421.305684,422.266938
C3,4,Y,139.095238,138.327913
C3,5,Area,1595.000000,1836.000000
C3,5,Perimeter,150.710678,161.781746
C3,5,Solidity,0.973154,0.972973
C3,5,Eccentricity,0.683003,0.582549
C3,5,Circularity,0.882435,0.881502
C3,5,X,302.854545,303.455338
C3,5,Y,191.934796,191.570806
C3,6,Area,239.000000,250.000000
C3,6,Perimeter,56.284271,56.041631
C3,6,Solidity,0.959839,0.984252
C3,6,Eccentricity,0.556244,0.586552
C3,6,Circularity,0.948055,1.000296
C3,6,X,389.732218,389.468000
C3,6,Y,176.953975,176.616000
C3,7,Area,474.000000,549.000000
C3,7,Perimeter,79.597980,88.083261
C3,7,Solidity,0.967347,0.964851
C3,7,Eccentricity,0.392798,0.630397
C3,7,Circularity,0.940122,0.889192
C3,7,X,103.299578,101.755920
C3,7,Y,238.493671,238.768670
C3,8,Area,303.000000,338.000000
C3,8,Perimeter,63.112698,65.698485
C3,8,Solidity,0.958861,0.974063
C3,8,Eccentricity,0.437070,0.536499
C3,8,Circularity,0.955914,0.984047
C3,8,X,155.881188,156.488166
C3,8,Y,307.412541,307.062130
C3,9,Area,320.000000,403.000000
C3,9,Perimeter,64.526912,73.012193
C3,9,Solidity,0.966767,0.964115
C3,9,Eccentricity,0.542032,0.425200
C3,9,Circularity,0.965780,0.950001
C3,9,X,431.300000,431.729529
C3,9,Y,314.684375,314.057072
C3,10,Area,360.000000,215.000000
C3,10,Perimeter,68.769553,53.698485
C3,10,Solidity,0.962567,0.951327
C3,10,Eccentricity,0.335307,0.576057
C3,10,Circularity,0.956577,0.936967
C3,10,X,253.116667,253.665116
C3,10,Y,320.461111,319.795349
C3,11,Area,681.000000,845.000000
C3,11,Perimeter,95.254834,106.325902
C3,11,Solidity,0.968706,0.973502
C3,11,Eccentricity,0.227575,0.309842
C3,11,Circularity,0.943155,0.939266
C3,11,X,228.810573,228.644970
C3,11,Y,379.270191,378.687574
C3,12,Area,336.000000,279.000000
C3,12,Perimeter,66.284271,60.526912
C3,12,Solidity,0.965517,0.955479
C3,12,Eccentricity,0.408351,0.319082
C3,12,Circularity,0.961011,0.957011
C3,12,X,236.157738,237.197133
C3,12,Y,434.773810,433.881720
C3,13,Area,264.000000,236.000000
C3,13,Perimeter,58.284271,56.526912
C3,13,Solidity,0.960000,0.951613
C3,13,Eccentricity,0.290740,0.476833
C3,13,Circularity,0.976587,0.928135
C3,13,X,249.155303,249.813559
C3,13,Y,456.837121,458.211864
C3,14,Area,284.000000,327.000000
C3,14,Perimeter,60.870058,66.526912
C3,14,Solidity,0.962712,0.953353
C3,14,Eccentricity,0.569099,0.313521
C3,14,Circularity,0.963210,0.928459
C3,14,X,405.535211,403.709480
C3,14,Y,485.915493,486.201835
C4,0,Area,429.000000,520.000000
C4,0,Perimeter,77.455844,85.698485
C4,0,Solidity,0.970588,0.979284
C4,0,Eccentricity,0.504749,0.613605
C4,0,Circularity,0.898584,0.889748
C4,0,X,46.247086,45.771154
C4,0,Y,9.643357,9.201923
C4,1,Area,780.000000,882.000000
C4,1,Perimeter,103.154329,108.325902
C4,1,Solidity,0.971357,0.974586
C4,1,Eccentricity,0.438656,0.459811
C4,1,Circularity,0.921148,0.944526
C4,1,X,151.392308,152.733560
C4,1,Y,50.651282,50.846939
C4,2,Area,282.000000,354.000000
C4,2,Perimeter,59.698485,67.112698
C4,2,Solidity,0.979167,0.972527
C4,2,Eccentricity,0.403343,0.309537
C4,2,Circularity,0.994334,0.987651
C4,2,X,45.425532,46.189266
C4,2,Y,185.819149,185.322034
C4,3,Area,1478.000000,1624.000000
C4,3,Perimeter,142.124892,148.710678
C4,3,Solidity,0.978160,0.979493
C4,3,Eccentricity,0.493159,0.410724
C4,3,Circularity,0.919484,0.922808
C4,3,X,453.635995,453.685961
C4,3,Y,268.470907,268.032020
C4,4,Area,360.000000,412.000000
C4,4,Perimeter,67.941125,72.769553
C4,4,Solidity,0.975610,0.971698
C4,4,Eccentricity,0.403890,0.374207
C4,4,Circularity,0.980047,0.977705
C4,4,X,49.391667,49.432039
C4,4,Y,342.619444,342.264563
C4,5,Area,1063.000000,1307.000000
C4,5,Perimeter,119.982756,141.438600
C4,5,Solidity,0.974335,0.961737
C4,5,Eccentricity,0.343345,0.479486
C4,5,Circularity,0.927909,0.821012
C4,5,X,231.814675,232.012242
C4,5,Y,362.980245,363.342770
C5,0,Area,385.000000,469.000000
C5,0,Perimeter,71.012193,81.840620
C5,0,Solidity,0.967337,0.959100
C5,0,Eccentricity,0.437871,0.497490
C5,0,Circularity,0.959411,0.879923
C5,0,X,446.833766,449.029851
C5,0,Y,54.509091,55.164179
C5,1,Area,591.000000,635.000000
C5,1,Perimeter,88.669048,93.982756
C5,1,Solidity,0.975248,0.962121
C5,1,Eccentricity,0.501987,0.510463
C5,1,Circularity,0.944612,0.903415
C5,1,X,189.358714,191.039370
C5,1,Y,76.299492,76.042520
C5,2,Area,506.000000,933.000000
C5,2,Perimeter,81.597980,132.468037
C5,2,Solidity,0.978723,0.906706
C5,2,Eccentricity,0.624755,0.892447
C5,2,Circularity,0.954996,0.668143
C5,2,X,59.474308,62.220793
C5,2,Y,81.092885,89.096463
C5,3,Area,799.000000,994.000000
C5,3,Perimeter,103.740115,118.124892
C5,3,Solidity,0.969660,0.970703
C5,3,Eccentricity,0.338005,0.099302
C5,3,Circularity,0.932960,0.895186
C5,3,X,424.586984,424.881288
C5,3,Y,206.315394,206.094567
C5,4,Area,962.000000,1147.000000
C5,4,Perimeter,115.396970,124.811183
C5,4,Solidity,0.970737,0.974511
C5,4,Eccentricity,0.575320,0.465661
C5,4,Circularity,0.907812,0.925265
C5,4,X,327.546778,328.233653
C5,4,Y,220.850312,220.905841
C5,5,Area,453.000000,563.000000
C5,5,Perimeter,76.769553,87.012193
C5,5,Solidity,0.974194,0.964041
C5,5,Eccentricity,0.445950,0.424182
C5,5,Circularity,0.965895,0.934454
C5,5,X,174.518764,174.852575
C5,5,Y,284.233996,283.936057
C5,6,Area,249.000000,360.000000
C5,6,Perimeter,56.627417,71.698485
C5,6,Solidity,0.961390,0.947368
C5,6,Eccentricity,0.567186,0.706702
C5,6,Circularity,0.975789,0.880020
C5,6,X,431.281124,430.130556
C5,6,Y,289.240964,286.761111
C5,7,Area,390.000000,474.000000
C5,7,Perimeter,72.526912,85.497475
C5,7,Solidity,0.958231,0.948000
C5,7,Eccentricity,0.452151,0.728392
C5,7,Circularity,0.931700,0.814857
C5,7,X,496.969231,495.392405
C5,7,Y,317.917949,316.856540
C5,8,Area,831.000000,821.000000
C5,8,Perimeter,104.911688,105.982756
C5,8,Solidity,0.975352,0.971598
